Name,Target,Precursors,Temperature (C),Dwell Duration (h),Furnace
NSC-211,Na3.63Hf0.6Zr0.6Sc0.2Mg0.2Ti0.2In0.2(PO4)1.5(SiO4)1.5,"['Na2CO3', 'HfO2', 'ZrO2', 'Sc2O3', 'MgO', 'TiO2', 'In2O3', 'NH4H2PO4', 'SiO2']",300.0,0.2,BF
NSC-212,Na3.85Hf0.6Zr0.6Sc0.3Mg0.2In0.3(PO4)1.5(SiO4)1.5,"['Na2CO3', 'HfO2', 'ZrO2', 'Sc2O3', 'MgO', 'In2O3', 'NH4H2PO4', 'SiO2']",300.0,0.2,BF
NSC-213,Na3.74Hf0.7Zr0.7Sc0.2Ti0.2In0.2(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'Sc2O3', 'TiO2', 'In2O3', 'NH4H2PO4', 'SiO2']",300.0,0.2,BF
NSC-214,Na3.85Hf0.5Zr0.5Sc0.5Ti0.5(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'Sc2O3', 'TiO2', 'NH4H2PO4', 'SiO2']",300.0,0.2,BF
NSC-215,Na3.3Hf1.0Zr1.0(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-216,Na3.74Hf0.6Zr1.0Sc0.4(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'Sc2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-217,Na3.52Hf0.8Zr1.0Sc0.2(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'Sc2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-218,Na3.85Hf0.3Zr1.0Sc0.15Mg0.1Ti0.3In0.15(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'Sc2O3', 'MgO', 'TiO2', 'In2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-219,Na3.63Hf0.6Zr0.6Sc0.2Mg0.2Ti0.2In0.2(PO4)1.5(SiO4)1.5,"['Na2CO3', 'HfO2', 'ZrO2', 'Sc2O3', 'MgO', 'TiO2', 'In2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-220,Na3.85Hf0.6Zr0.6Sc0.3Mg0.2In0.3(PO4)1.5(SiO4)1.5,"['Na2CO3', 'HfO2', 'ZrO2', 'Sc2O3', 'MgO', 'In2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-221,Na3.74Hf0.7Zr0.7Sc0.2Ti0.2In0.2(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'Sc2O3', 'TiO2', 'In2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-222,Na3.85Hf0.5Zr0.5Sc0.5Ti0.5(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'Sc2O3', 'TiO2', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-223,Na3.713Hf0.205Zr0.337Ta0.146Sc0.301Nb0.259Ti0.061In0.134Sn0.264Y0.077Ga0.088Zn0.051La0.08(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'Ta2O5', 'Sc2O3', 'Nb2O5', 'TiO2', 'In2O3', 'SnO2', 'Y2O3', 'Ga2O3', 'ZnO', 'La2O3', 'NH4H2PO4', 'SiO2']",,,BF
NSC-224,Na3.823Hf0.241Zr0.211Ta0.212Sc0.658Nb0.189Ti0.183Sn0.088Y0.071Ga0.042La0.106(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'Ta2O5', 'Sc2O3', 'Nb2O5', 'TiO2', 'SnO2', 'Y2O3', 'Ga2O3', 'La2O3', 'NH4H2PO4', 'SiO2']",,,BF
NSC-225,Na3.566Hf0.25Zr0.276Ta0.269Sc0.182Nb0.252Ti0.047In0.166Sn0.217Y0.165Ga0.06Zn0.074La0.041(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'Ta2O5', 'Sc2O3', 'Nb2O5', 'TiO2', 'In2O3', 'SnO2', 'Y2O3', 'Ga2O3', 'ZnO', 'La2O3', 'NH4H2PO4', 'SiO2']",,,BF
NSC-226,Na3.703Hf0.135Zr0.35Ta0.294Sc0.089Nb0.246Mg0.226In0.207Sn0.294Y0.042Ga0.043La0.072(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'Ta2O5', 'Sc2O3', 'Nb2O5', 'MgO', 'In2O3', 'SnO2', 'Y2O3', 'Ga2O3', 'La2O3', 'NH4H2PO4', 'SiO2']",,,BF
NSC-227,Na3.839Hf0.331Zr0.239Ta0.227Sc0.326Nb0.258Mg0.081Ti0.052In0.486(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'Ta2O5', 'Sc2O3', 'Nb2O5', 'MgO', 'TiO2', 'In2O3', 'NH4H2PO4', 'SiO2']",,,BF
NSC-228,Na3.849Hf0.377Zr0.364Ta0.257Sc0.376Nb0.128Mg0.06Ti0.05In0.387(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'Ta2O5', 'Sc2O3', 'Nb2O5', 'MgO', 'TiO2', 'In2O3', 'NH4H2PO4', 'SiO2']",,,BF
NSC-229,Na3.722Hf0.408Zr0.336Ta0.168Sc0.332Nb0.232Ti0.073In0.452(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'Ta2O5', 'Sc2O3', 'Nb2O5', 'TiO2', 'In2O3', 'NH4H2PO4', 'SiO2']",,,BF
NSC-230,Na3.836Hf0.403Zr0.266Ta0.257Sc0.253Nb0.175Mg0.086Ti0.064In0.495(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'Ta2O5', 'Sc2O3', 'Nb2O5', 'MgO', 'TiO2', 'In2O3', 'NH4H2PO4', 'SiO2']",,,BF
NSC-231,Na3.663Nb0.594Mg0.089Ti0.341In0.747Sn0.23(PO4)1.0(SiO4)2.0,"['Na2CO3', 'Nb2O5', 'MgO', 'TiO2', 'In2O3', 'SnO2', 'NH4H2PO4', 'SiO2']",,,BF
NSC-232,Na3.417Nb0.702In0.32Sn0.49Y0.31Ga0.177(PO4)1.0(SiO4)2.0,"['Na2CO3', 'Nb2O5', 'In2O3', 'SnO2', 'Y2O3', 'Ga2O3', 'NH4H2PO4', 'SiO2']",,,BF
NSC-233,Na3.363Nb0.77Ti0.135In0.637Sn0.267Y0.19(PO4)1.0(SiO4)2.0,"['NH4H2PO4', 'SiO2', 'Na2CO3', 'Nb2O5', 'TiO2', 'In2O3', 'SnO2', 'Y2O3']",,,BF
NSC-234,Na3.422Nb0.598Ti0.249In0.377Sn0.445Y0.331(PO4)1.0(SiO4)2.0,"['Na2CO3', 'Nb2O5', 'TiO2', 'In2O3', 'SnO2', 'Y2O3', 'NH4H2PO4', 'SiO2']",,,BF
NSC-235,Na3.388Nb0.63Ti0.15In0.448Sn0.51Y0.262(PO4)1.0(SiO4)2.0,"['Na2CO3', 'Nb2O5', 'TiO2', 'In2O3', 'SnO2', 'Y2O3', 'NH4H2PO4', 'SiO2']",,,BF
NSC-236,Na2.921Nb0.835In0.258Sn0.674Y0.233(PO4)1.0(SiO4)2.0,"['Na2CO3', 'Nb2O5', 'In2O3', 'SnO2', 'Y2O3', 'NH4H2PO4', 'SiO2']",,,BF
NSC-237,Na3.668Nb0.526Mg0.122Ti0.224In0.508Sn0.511Y0.109(PO4)1.0(SiO4)2.0,"['Na2CO3', 'Nb2O5', 'MgO', 'TiO2', 'In2O3', 'SnO2', 'Y2O3', 'NH4H2PO4', 'SiO2']",,,BF
NSC-238,Na3.851Nb0.812Mg0.385In0.425Sn0.259Y0.12(PO4)1.0(SiO4)2.0,"['Na2CO3', 'Nb2O5', 'MgO', 'In2O3', 'SnO2', 'Y2O3', 'NH4H2PO4', 'SiO2']",,,BF
NSC-239,Na1.998Ta1.592La0.408(PO4)1.0(SiO4)2.0,"['La2O3', 'NH4H2PO4', 'SiO2', 'Na2CO3', 'Ta2O5']",1100.0,0.2,BF
NSC-240,Na3.85Ta1.167Mg0.833(PO4)1.0(SiO4)2.0,"['Na2CO3', 'Ta2O5', 'MgO', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-241,Na2.454Ta1.385Y0.615(PO4)1.0(SiO4)2.0,"['Na2CO3', 'Ta2O5', 'Y2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-242,Na3.85Hf1.75Zn0.25(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZnO', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-243,Na3.123Nb1.08Y0.637Ga0.282(PO4)1.0(SiO4)2.0,"['Na2CO3', 'Nb2O5', 'Y2O3', 'Ga2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
