Name,Target,Precursors,Temperature (C),Dwell Duration (h),Furnace
Na-191,Na12SnZrHfP6O27,"['SnO2', 'NH4H2PO4', 'Na2CO3', 'HfO2', 'ZrO2']",925.0,0.2,BF
Na-192,Na12SnTiZrP6O27,"['SnO2', 'NH4H2PO4', 'Na2CO3', 'TiO2', 'ZrO2']",925.0,0.2,BF
Na-203,Na4TiP2O9,"['Na2CO3', 'NH4H2PO4', 'TiO2']",950.0,0.2,BF
Na-204,Na4TiP2O9,"['Na2CO3', '(NH4)2HPO4', 'TiO2']",950.0,0.2,BF
Na-205,Na4ZrP2O9,"['Na2CO3', 'NH4H2PO4', 'ZrO2']",950.0,0.2,BF
Na-206,Na4ZrP2O9,"['Na2CO3', '(NH4)2HPO4', 'ZrO2']",950.0,0.2,BF
Na-207,Na4HfP2O9,"['Na2CO3', 'NH4H2PO4', 'HfO2']",950.0,0.2,BF
Na-208,Na4HfP2O9,"['Na2CO3', '(NH4)2HPO4', 'HfO2']",950.0,0.2,BF
Na-248,Na4AlP2O9,"['Na2CO3', 'NH4H2PO4', 'Al2O3']",950.0,0.2,BF
Na-249,Na4AlP2O9,"['Na2CO3', '(NH4)2HPO4', 'Al2O3']",950.0,0.2,BF
Na-250,Na4GeP2O9,"['Na2CO3', 'NH4H2PO4', 'GeO2']",950.0,0.2,BF
Na-251,Na4GeP2O9,"['Na2CO3', '(NH4)2HPO4', 'GeO2']",950.0,0.2,BF
Na-252,Na4FeP2O9,"['Na2CO3', 'NH4H2PO4', 'Fe3O4']",950.0,0.2,BF
Na-253,Na4FeP2O9,"['Na2CO3', '(NH4)2HPO4', 'Fe3O4']",950.0,0.2,BF
Na-254,Na4MoP2O9,"['NH4H2PO4', 'MoO2', 'Na2CO3']",950.0,0.2,BF
Na-255,Na4MoP2O9,"['Na2CO3', '(NH4)2HPO4', 'MoO2']",950.0,0.2,BF
Na-257,Na4TiP2O9,"['Na2CO3', 'NH4H2PO4', 'TiO2']",950.0,0.2,BF
Na-258,Na4TiP2O9,"['Na2CO3', 'NH4H2PO4', 'TiO2']",950.0,0.2,BF
Na-259,Na4TiP2O9,"['Na2CO3', 'NH4H2PO4', 'TiO2']",950.0,0.2,BF
Na-260,Na4TiP2O9,"['Na2CO3', 'NH4H2PO4', 'TiO2']",950.0,0.2,BF
Na-261,Na4MnP2O9,"['Na2CO3', 'NH4H2PO4', 'MnO2']",950.0,0.2,BF
Na-262,Na4MnP2O9,"['Na2CO3', '(NH4)2HPO4', 'MnO2']",950.0,0.2,BF
Na-263,Na4VP2O9,"['Na2CO3', 'NH4H2PO4', 'V2O5']",950.0,0.2,BF
Na-264,Na4VP2O9,"['Na2CO3', '(NH4)2HPO4', 'V2O5']",950.0,0.2,BF
Na-267,Na4GeP2O9,"['Na2CO3', 'NH4H2PO4', 'GeO2']",650.0,0.2,BF
Na-268,Na4FeP2O9,"['Na2CO3', 'NH4H2PO4', 'Fe3O4']",650.0,0.2,BF
Na-269,Na4ZnP2O9,"['Na2CO3', 'NH4H2PO4', 'ZnO']",650.0,0.2,BF
Na-270,Na4TiP2O9,"['Na2CO3', 'NH4H2PO4', 'TiO2']",650.0,0.2,BF
