Name,Target,Precursors,Temperature (C),Dwell Duration (h),Furnace
PG-2634-1,MnPH6NO5,"['MnO_PG', 'NH4H2PO4_PG']",200.0,0.02,BF
PG-2635-1,Na2Mn2CO5,"['MnO_PG', 'Na2CO3_PG']",500.0,0.02,BF
PG-2638-1,Mn2Nb2O7,"['MnO_PG', 'Nb2O5_PG']",900.0,0.02,BF
PG-2639-1,MnNiO2,"['MnO_PG', 'NiO_PG']",1100.0,0.02,BF
PG-2640-1,MnPbO2,"['MnO_PG', 'PbO_PG']",500.0,0.02,BF
PG-2641-1,Mn2Sb2O5,"['MnO_PG', 'Sb2O3_PG']",300.0,0.02,BF
PG-2643-1,MnSiO3,"['MnO_PG', 'SiO2_PG']",1000.0,0.02,BF
PG-2644-1,MnSnO3,"['MnO_PG', 'SnO2_PG']",1000.0,0.02,BF
PG-2645-1,SrMnCO4,"['MnO_PG', 'SrCO3_PG']",900.0,0.02,BF
PG-2646-1,TiMnO3,"['MnO_PG', 'TiO2_PG']",1100.0,0.02,BF
PG-2647-1,Mn2V2O5,"['MnO_PG', 'V2O3_PG']",1100.0,0.02,BF
PG-2648-1,Mn2V2O7,"['MnO_PG', 'V2O5_PG']",400.0,0.02,BF
PG-2649-1,MnWO4,"['MnO_PG', 'WO3_PG']",900.0,0.02,BF
PG-2650-1,Y2Mn2O5,"['MnO_PG', 'Y2O3_PG']",1100.0,0.02,BF
PG-2651-1,MnZnO2,"['MnO_PG', 'ZnO_PG']",1100.0,0.02,BF
PG-2652-1,ZrMnO3,"['MnO_PG', 'ZrO2_PG']",1100.0,0.02,BF
PG-2734-1,Mn3PH6NO8,"['Mn3O4_PG', 'NH4H2PO4_PG']",200.0,0.02,BF
PG-2735-1,Na6Mn6C3O17,"['Mn3O4_PG', 'Na2CO3_PG']",500.0,0.02,BF
PG-2738-1,Mn6Nb6O23,"['Mn3O4_PG', 'Nb2O5_PG']",900.0,0.02,BF
PG-2739-1,Mn3Ni3O7,"['Mn3O4_PG', 'NiO_PG']",1000.0,0.02,BF
PG-2740-1,Mn3Pb3O7,"['Mn3O4_PG', 'PbO_PG']",500.0,0.02,BF
PG-2741-1,Mn6Sb6O17,"['Mn3O4_PG', 'Sb2O3_PG']",300.0,0.02,BF
PG-2743-1,Mn3Si3O10,"['Mn3O4_PG', 'SiO2_PG']",1000.0,0.02,BF
PG-2744-1,Mn3Sn3O10,"['Mn3O4_PG', 'SnO2_PG']",1000.0,0.02,BF
PG-2745-1,Sr3Mn3C3O13,"['Mn3O4_PG', 'SrCO3_PG']",900.0,0.02,BF
PG-2746-1,Ti3Mn3O10,"['Mn3O4_PG', 'TiO2_PG']",1000.0,0.02,BF
PG-2747-1,Mn6V6O17,"['V2O3_PG', 'Mn3O4_PG']",1000.0,0.02,BF
PG-2748-1,Mn6V6O23,"['Mn3O4_PG', 'V2O5_PG']",400.0,0.02,BF
PG-2749-1,Mn3W3O13,"['Mn3O4_PG', 'WO3_PG']",900.0,0.02,BF
PG-2750-1,Y6Mn6O17,"['Mn3O4_PG', 'Y2O3_PG']",1000.0,0.02,BF
PG-2751-1,Mn3Zn3O7,"['ZnO_PG', 'Mn3O4_PG']",1000.0,0.02,BF
PG-2752-1,Zr3Mn3O10,"['Mn3O4_PG', 'ZrO2_PG']",1000.0,0.02,BF
PG-2834-1,Mn2PH6NO7,"['Mn2O3_PG', 'NH4H2PO4_PG']",200.0,0.02,BF
PG-2835-1,Na2Mn2CO6,"['Mn2O3_PG', 'Na2CO3_PG']",500.0,0.02,BF
PG-2838-1,MnNbO4,"['Mn2O3_PG', 'Nb2O5_PG']",500.0,0.02,BF
PG-2839-1,Mn2Ni2O5,"['Mn2O3_PG', 'NiO_PG']",500.0,0.02,BF
PG-2840-1,Mn2Pb2O5,"['Mn2O3_PG', 'PbO_PG']",500.0,0.02,BF
PG-2841-1,MnSbO3,"['Mn2O3_PG', 'Sb2O3_PG']",300.0,0.02,BF
PG-2843-1,Mn2Si2O7,"['Mn2O3_PG', 'SiO2_PG']",500.0,0.02,BF
PG-2844-1,Mn2Sn2O7,"['Mn2O3_PG', 'SnO2_PG']",500.0,0.02,BF
PG-2845-1,Sr2Mn2C2O9,"['Mn2O3_PG', 'SrCO3_PG']",500.0,0.02,BF
PG-2846-1,Ti2Mn2O7,"['Mn2O3_PG', 'TiO2_PG']",500.0,0.02,BF
PG-2847-1,MnVO3,"['Mn2O3_PG', 'V2O3_PG']",500.0,0.02,BF
PG-2848-1,MnVO4,"['Mn2O3_PG', 'V2O5_PG']",400.0,0.02,BF
PG-2849-1,Mn2W2O9,"['Mn2O3_PG', 'WO3_PG']",500.0,0.02,BF
PG-2850-1,YMnO3,"['Mn2O3_PG', 'Y2O3_PG']",500.0,0.02,BF
PG-2851-1,Mn2Zn2O5,"['Mn2O3_PG', 'ZnO_PG']",500.0,0.02,BF
PG-2852-1,Zr2Mn2O7,"['Mn2O3_PG', 'ZrO2_PG']",500.0,0.02,BF
PG-2934-1,MnPH6NO6,"['MnO2_PG', 'NH4H2PO4_PG']",200.0,0.02,BF
PG-2935-1,Na2Mn2CO7,"['MnO2_PG', 'Na2CO3_PG']",300.0,0.02,BF
PG-2938-1,Mn2Nb2O9,"['MnO2_PG', 'Nb2O5_PG']",300.0,0.02,BF
PG-2939-1,MnNiO3,"['MnO2_PG', 'NiO_PG']",300.0,0.02,BF
PG-2940-1,MnPbO3,"['MnO2_PG', 'PbO_PG']",300.0,0.02,BF
PG-2941-1,Mn2Sb2O7,"['MnO2_PG', 'Sb2O3_PG']",300.0,0.02,BF
PG-2943-1,MnSiO4,"['MnO2_PG', 'SiO2_PG']",300.0,0.02,BF
PG-2944-1,MnSnO4,"['MnO2_PG', 'SnO2_PG']",300.0,0.02,BF
PG-2945-1,SrMnCO5,"['MnO2_PG', 'SrCO3_PG']",300.0,0.02,BF
PG-2949-1,MnWO5,"['MnO2_PG', 'WO3_PG']",300.0,0.02,BF
PG-2950-1,Y2Mn2O7,"['MnO2_PG', 'Y2O3_PG']",300.0,0.02,BF
PG-2951-1,MnZnO3,"['MnO2_PG', 'ZnO_PG']",300.0,0.02,BF
PG-2952-1,ZrMnO4,"['MnO2_PG', 'ZrO2_PG']",300.0,0.02,BF
PG-3034-1,MoPH6NO7,"['MoO3_PG', 'NH4H2PO4_PG']",200.0,0.02,BF
PG-3035-1,Na2Mo2CO9,"['MoO3_PG', 'Na2CO3_PG']",400.0,0.02,BF
PG-3038-1,Nb2Mo2O11,"['MoO3_PG', 'Nb2O5_PG']",400.0,0.02,BF
PG-3039-1,NiMoO4,"['MoO3_PG', 'NiO_PG']",400.0,0.02,BF
PG-3040-1,MoPbO4,"['MoO3_PG', 'PbO_PG']",400.0,0.02,BF
PG-3049-1,MoWO6,"['MoO3_PG', 'WO3_PG']",400.0,0.02,BF
PG-3050-1,Y2Mo2O9,"['MoO3_PG', 'Y2O3_PG']",400.0,0.02,BF
PG-3051-1,ZnMoO4,"['MoO3_PG', 'ZnO_PG']",400.0,0.02,BF
PG-3052-1,ZrMoO5,"['MoO3_PG', 'ZrO2_PG']",400.0,0.02,BF
PG-3140-1,PH9PbN2O5,"['(NH4)2HPO4_PG', 'PbO_PG']",200.0,0.02,BF
PG-3149-1,PH9WN2O7,"['(NH4)2HPO4_PG', 'WO3_PG']",200.0,0.02,BF
PG-3150-1,Y2PH9N2O7,"['(NH4)2HPO4_PG', 'Y2O3_PG']",200.0,0.02,BF
PG-3151-1,ZnPH9N2O5,"['(NH4)2HPO4_PG', 'ZnO_PG']",200.0,0.02,BF
PG-3152-1,ZrPH9(NO3)2,"['(NH4)2HPO4_PG', 'ZrO2_PG']",200.0,0.02,BF
