Name,Target,Precursors,Temperature (C),Dwell Duration (h),Furnace
ARR-222,BaGdCrFeO6,"['BaO2', 'Cr2O3', 'Fe3O4', 'Gd2O3']",900.0,4,BF
ARR-191,BaMn8O16,"['BaO2', 'Mn3O4']",800.0,4,BF
ARR-193,BaMn8O16,"['BaO2', 'MnO']",800.0,4,BF
ARR-192,BaMn8O16,"['BaO', 'MnO']",800.0,4,BF
ARR-187,CaCo(PO3)4,"['Ca(OH)2', 'CoO', '(NH4)2HPO4']",700.0,4,BF
ARR-188,CaCo(PO3)4,"['Ca(OH)2', 'CoO', 'NH4H2PO4']",700.0,4,BF
ARR-189,CaCo(PO3)4,"['CaO', 'Co3O4', '(NH4)2HPO4']",700.0,4,BF
ARR-186,CaCo(PO3)4,"['CaO', 'CoO', '(NH4)2HPO4']",700.0,4,BF
ARR-198,CaCr2P2O9,"['Ca(OH)2', 'Cr2O3', '(NH4)2HPO4']",700.0,4,BF
ARR-212,CaCr2P2O9,"['Ca(OH)2', 'Cr2O3', '(NH4)2HPO4']",800.0,4,BF
ARR-221,CaGd2Zr(GaO3)4,"['Ca(OH)2', 'Ga2O3', 'Gd2O3', 'ZrO2']",,,BF
ARR-203,CaGd2Zr(GaO3)4,"['Ca(OH)2', 'Ga2O3', 'Gd2O3', 'ZrO2']",800.0,4,BF
ARR-204,CaGd2Zr(GaO3)4,"['CaCO3', 'Ga2O3', 'Gd2O3', 'ZrO2']",800.0,4,BF
ARR-205,CaGd2Zr(GaO3)4,"['CaO', 'Ga2O3', 'Gd2O3', 'ZrO2']",800.0,4,BF
ARR-217,CaGd2Zr(GaO3)4,"['Ca(OH)2', 'Ga2O3', 'Gd2O3', 'ZrO2']",900.0,4,BF
ARR-190,CaTa2Ga2(CuO4)3,"['CaO', 'Ga2O3', 'Ta2O5', 'CuO']",1000.0,4,BF
ARR-167,InSb3(PO4)6,"['NH4H2PO4', 'In2O3', 'Sb2O3']",800.0,4,BF
ARR-168,InSb3(PO4)6,"['NH4H2PO4', 'In2O3', 'Sb2O5']",800.0,4,BF
ARR-163,KNa2Ga3(SiO4)3,"['Ga2O3', 'K2CO3', 'Na2CO3', 'SiO2']",900.0,4,BF
ARR-169,Na3V3Cr2O12,"['Cr2O3', 'Na2CO3', 'V2O5']",500.0,4,BF
ARR-208,Ta4PbO11,"['PbO2', 'Ta2O5']",700.0,4,BF
ARR-209,Ta4PbO11,"['PbO', 'Ta2O5']",700.0,4,BF
ARR-195,Ta4PbO11,"['PbCO3', 'Ta2O5']",900.0,4,BF
ARR-170,V3AgO8,"['Ag2CO3', 'V2O5']",500.0,4,BF
ARR-194,Y3In2Ga3O12,"['Y2O3', 'Ga2O3', 'In2O3']",800.0,4,BF
ARR-206,YbMoO4,"['MoO2', 'Yb2O3']",500.0,4,BF
ARR-207,YbMoO4,"['MoO3', 'Yb2O3']",500.0,4,BF
ARR-218,YbMoO4,"['MoO2', 'Yb2O3']",600.0,4,BF
